Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
1	G1	G1	2	12	1	0.74136	0.5
2	G2	G1	2	12	1e-04	0	0.5
3	G3	G1	2	12	0.0057	0	0.5
4	G4	G1	2	12	0	0	0.5
5	G5	G1	2	12	3e-04	0	0.5
6	G6	G1	2	12	0.0011	0	0.5
7	G7	G1	2	12	1e-04	0	0.5
8	G8	G1	2	12	0.0041	0	0.5
9	G9	G1	2	12	0	0	0.5
10	G10	G1	2	12	0.0029	0	0.5
11	G11	G1	2	12	0.0056	0	0.5
12	G12	G1	2	12	4e-04	0	0.5
13	G13	G1	2	12	0.0047	0	0.5
14	G14	G1	2	12	0	0	0.5
15	G15	G1	2	12	0.0027	0	0.5
16	G16	G1	2	12	3e-04	0	0.5
17	G17	G1	2	12	4e-04	0	0.5
18	G18	G1	2	12	0.0062	0	0.5
19	G19	G1	2	12	7e-04	0	0.5
20	G20	G1	2	12	0.0017	0	0.5
21	G21	G1	2	12	0.0017	0	0.5
22	G22	G1	2	12	0	0	0.5
23	G23	G1	2	12	0.0011	0	0.5
24	G24	G1	2	12	1e-04	0	0.5
25	G25	G1	2	12	0.0026	0	0.5
26	G26	G1	2	12	0.0417	0	0.5
27	G27	G1	2	12	0.0011	0	0.5
28	G28	G1	2	12	5e-04	0	0.5
29	G29	G1	2	12	6e-04	0	0.5
30	G30	G1	2	12	0	0	0.5
31	G31	G1	2	12	0.0033	0	0.5
32	G32	G1	2	12	8e-04	0	0.5
33	G33	G1	2	12	0.0124	0	0.5
34	G34	G1	2	12	0.0011	0	0.5
35	G35	G1	2	12	0.0018	0	0.5
36	G36	G1	2	12	0.002	0	0.5
37	G37	G1	2	12	0.0041	0	0.5
38	G38	G1	2	12	0.0017	0	0.5
39	G39	G1	2	12	1e-04	0	0.5
40	G40	G1	2	12	0.0037	0	0.5
41	G41	G1	2	12	0	0	0.5
42	G42	G1	2	12	0.0014	0	0.5
43	G43	G1	2	12	0.0082	0	0.5
44	G44	G1	2	12	0.007	0	0.5
45	G45	G1	2	12	0	0	0.5
46	G46	G1	2	12	0	0	0.5
47	G47	G1	2	12	0.0024	0	0.5
48	G48	G1	2	12	5e-04	0	0.5
49	G49	G1	2	12	0	0	0.5
50	G50	G1	2	12	4e-04	0	0.5
51	G1	G1	13	21	0.0416	0	0.5
52	G2	G1	13	21	0.0017	0	0.5
53	G3	G1	13	21	0.0039	0	0.5
54	G4	G1	13	21	0.009	0	0.5
55	G5	G1	13	21	0.0027	0	0.5
56	G6	G1	13	21	0.001	0	0.5
57	G7	G1	13	21	0.0041	0	0.5
58	G8	G1	13	21	0.0048	0	0.5
59	G9	G1	13	21	0.0039	0	0.5
60	G10	G1	13	21	0.0031	0	0.5
61	G11	G1	13	21	0.0016	0	0.5
62	G12	G1	13	21	0.0035	0	0.5
63	G13	G1	13	21	0.0032	0	0.5
64	G14	G1	13	21	0.0047	0	0.5
65	G15	G1	13	21	0.0076	0	0.5
66	G16	G1	13	21	0.0058	0	0.5
67	G17	G1	13	21	0.002	0	0.5
68	G18	G1	13	21	8e-04	0	0.5
69	G19	G1	13	21	0.0057	0	0.5
70	G20	G1	13	21	0.0022	0	0.5
71	G21	G1	13	21	0.003	0	0.5
72	G22	G1	13	21	0.0037	0	0.5
73	G23	G1	13	21	0.0023	0	0.5
74	G24	G1	13	21	0.0069	0	0.5
75	G25	G1	13	21	0.0066	0	0.5
76	G26	G1	13	21	0.0062	0	0.5
77	G27	G1	13	21	6e-04	0	0.5
78	G28	G1	13	21	0.0046	0	0.5
79	G29	G1	13	21	0.0021	0	0.5
80	G30	G1	13	21	0.0064	0	0.5
81	G31	G1	13	21	0.0042	0	0.5
82	G32	G1	13	21	0.0061	0	0.5
83	G33	G1	13	21	0.1134	0	0.5
84	G34	G1	13	21	0.0049	0	0.5
85	G35	G1	13	21	0.0018	0	0.5
86	G36	G1	13	21	0.0021	0	0.5
87	G37	G1	13	21	0.0045	0	0.5
88	G38	G1	13	21	0.0048	0	0.5
89	G39	G1	13	21	9e-04	0	0.5
