Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
G1	G73	2	13	0	0	0.5
G2	G73	2	13	0	0	0.5
G3	G73	2	13	6e-04	0	0.5
G4	G73	2	13	0	0	0.5
G5	G73	2	13	0.0019	0	0.5
G6	G73	2	13	0	0	0.5
G7	G73	2	13	0	0	0.5
G8	G73	2	13	0	0	0.5
G9	G73	2	13	0	0	0.5
G10	G73	2	13	0	0	0.5
G11	G73	2	13	0	0	0.5
G12	G73	2	13	0	0	0.5
G13	G73	2	13	0	0	0.5
G14	G73	2	13	0	0	0.5
G15	G73	2	13	3e-04	0	0.5
G16	G73	2	13	0	0	0.5
G17	G73	2	13	0	0	0.5
G18	G73	2	13	0	0	0.5
G19	G73	2	13	0.0042	0	0.5
G20	G73	2	13	0	0	0.5
G21	G73	2	13	6e-04	0	0.5
G22	G73	2	13	0.001	0	0.5
G23	G73	2	13	0	0	0.5
G24	G73	2	13	0	0	0.5
G25	G73	2	13	0	0	0.5
G26	G73	2	13	0	0	0.5
G27	G73	2	13	0	0	0.5
G28	G73	2	13	0	0	0.5
G29	G73	2	13	0	0	0.5
G30	G73	2	13	0	0	0.5
G31	G73	2	13	0	0	0.5
G32	G73	2	13	0	0	0.5
G33	G73	2	13	0	0	0.5
G34	G73	2	13	0	0	0.5
G35	G73	2	13	0	0	0.5
G36	G73	2	13	0	0	0.5
G37	G73	2	13	0	0	0.5
G38	G73	2	13	0	0	0.5
G39	G73	2	13	0	0	0.5
G40	G73	2	13	0	0	0.5
G41	G73	2	13	0	0	0.5
G42	G73	2	13	0	0	0.5
G43	G73	2	13	0	0	0.5
G44	G73	2	13	0	0	0.5
G45	G73	2	13	0	0	0.5
G46	G73	2	13	0	0	0.5
G47	G73	2	13	0	0	0.5
G48	G73	2	13	0	0	0.5
G49	G73	2	13	0	0	0.5
G50	G73	2	13	0	0	0.5
G51	G73	2	13	6e-04	0	0.5
G52	G73	2	13	0	0	0.5
G53	G73	2	13	0	0	0.5
G54	G73	2	13	0	0	0.5
G55	G73	2	13	0	0	0.5
G56	G73	2	13	0	0	0.5
G57	G73	2	13	0	0	0.5
G58	G73	2	13	0	0	0.5
G59	G73	2	13	0	0	0.5
G60	G73	2	13	0	0	0.5
G61	G73	2	13	0	0	0.5
G62	G73	2	13	0	0	0.5
G63	G73	2	13	0.0013	0	0.5
G64	G73	2	13	1e-04	0	0.5
G65	G73	2	13	0	0	0.5
G66	G73	2	13	0	0	0.5
G67	G73	2	13	0	0	0.5
G68	G73	2	13	0	0	0.5
G69	G73	2	13	0	0	0.5
G70	G73	2	13	0	0	0.5
G71	G73	2	13	0	0	0.5
G72	G73	2	13	0	0	0.5
G73	G73	2	13	1	0.72939	0.5
G74	G73	2	13	0	0	0.5
G75	G73	2	13	0	0	0.5
G76	G73	2	13	0.0035	0	0.5
G77	G73	2	13	0	0	0.5
G78	G73	2	13	0	0	0.5
G79	G73	2	13	0	0	0.5
G80	G73	2	13	8e-04	0	0.5
G81	G73	2	13	0	0	0.5
G82	G73	2	13	0	0	0.5
G83	G73	2	13	0	0	0.5
G84	G73	2	13	0	0	0.5
G85	G73	2	13	5e-04	0	0.5
G86	G73	2	13	0.0023	0	0.5
G87	G73	2	13	0	0	0.5
G88	G73	2	13	0	0	0.5
G89	G73	2	13	0.0019	0	0.5
G90	G73	2	13	0	0	0.5
G91	G73	2	13	0	0	0.5
G92	G73	2	13	0.0037	0	0.5
G93	G73	2	13	6e-04	0	0.5
G94	G73	2	13	0	0	0.5
G95	G73	2	13	0	0	0.5
G96	G73	2	13	0	0	0.5
G97	G73	2	13	0	0	0.5
G98	G73	2	13	0	0	0.5
G99	G73	2	13	0	0	0.5
G100	G73	2	13	0	0	0.5
G1	G73	14	21	0	0	0.5
G2	G73	14	21	0	0	0.5
G3	G73	14	21	0	0	0.5
G4	G73	14	21	9e-04	0	0.5
G5	G73	14	21	0	0	0.5
G6	G73	14	21	0	0	0.5
G7	G73	14	21	0	0	0.5
G8	G73	14	21	0	0	0.5
G9	G73	14	21	1e-04	0	0.5
G10	G73	14	21	0	0	0.5
G11	G73	14	21	0	0	0.5
G12	G73	14	21	0	0	0.5
G13	G73	14	21	0	0	0.5
G14	G73	14	21	0	0	0.5
G15	G73	14	21	0	0	0.5
G16	G73	14	21	0	0	0.5
G17	G73	14	21	0	0	0.5
G18	G73	14	21	0	0	0.5
G19	G73	14	21	2e-04	0	0.5
G20	G73	14	21	0	0	0.5
G21	G73	14	21	0	0	0.5
G22	G73	14	21	0	0	0.5
G23	G73	14	21	0	0	0.5
G24	G73	14	21	0	0	0.5
G25	G73	14	21	0	0	0.5
G26	G73	14	21	0	0	0.5
G27	G73	14	21	0	0	0.5
G28	G73	14	21	0	0	0.5
G29	G73	14	21	0	0	0.5
G30	G73	14	21	0	0	0.5
G31	G73	14	21	0	0	0.5
G32	G73	14	21	0	0	0.5
G33	G73	14	21	5e-04	0	0.5
G34	G73	14	21	0	0	0.5
G35	G73	14	21	0	0	0.5
G36	G73	14	21	0	0	0.5
G37	G73	14	21	0	0	0.5
G38	G73	14	21	0	0	0.5
G39	G73	14	21	0	0	0.5
G40	G73	14	21	0	0	0.5
G41	G73	14	21	0	0	0.5
G42	G73	14	21	0	0	0.5
G43	G73	14	21	0	0	0.5
G44	G73	14	21	0	0	0.5
G45	G73	14	21	0	0	0.5
G46	G73	14	21	0	0	0.5
G47	G73	14	21	0	0	0.5
G48	G73	14	21	0	0	0.5
G49	G73	14	21	0	0	0.5
G50	G73	14	21	1e-04	0	0.5
G51	G73	14	21	0	0	0.5
G52	G73	14	21	4e-04	0	0.5
G53	G73	14	21	7e-04	0	0.5
G54	G73	14	21	0	0	0.5
G55	G73	14	21	0	0	0.5
G56	G73	14	21	0	0	0.5
G57	G73	14	21	0	0	0.5
G58	G73	14	21	0	0	0.5
G59	G73	14	21	0	0	0.5
G60	G73	14	21	0	0	0.5
G61	G73	14	21	0	0	0.5
G62	G73	14	21	5e-04	0	0.5
G63	G73	14	21	0	0	0.5
G64	G73	14	21	0	0	0.5
G65	G73	14	21	0	0	0.5
G66	G73	14	21	0	0	0.5
G67	G73	14	21	0	0	0.5
G68	G73	14	21	0	0	0.5
G69	G73	14	21	0.0013	0	0.5
G70	G73	14	21	0	0	0.5
G71	G73	14	21	0	0	0.5
G72	G73	14	21	0	0	0.5
G73	G73	14	21	0	0	0.5
G74	G73	14	21	0	0	0.5
G75	G73	14	21	0	0	0.5
