Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
1	G1	G1	2	21	0.0907	0	0.5
2	G2	G1	2	21	0.374	0	0.5
3	G3	G1	2	21	0.0122	0	0.5
4	G4	G1	2	21	0.0072	0	0.5
5	G5	G1	2	21	0.0077	0	0.5
6	G6	G1	2	21	0.0144	0	0.5
7	G7	G1	2	21	0.0165	0	0.5
8	G8	G1	2	21	0.0188	0	0.5
9	G9	G1	2	21	0.0081	0	0.5
10	G10	G1	2	21	0.0122	0	0.5
11	G1	G2	2	21	0.0061	0	0.5
12	G2	G2	2	21	1	0.6409	0.5
13	G3	G2	2	21	0.0037	0	0.5
14	G4	G2	2	21	0.0064	0	0.5
15	G5	G2	2	21	0.0046	0	0.5
16	G6	G2	2	21	0.0044	0	0.5
17	G7	G2	2	21	0.0038	0	0.5
18	G8	G2	2	21	0.0063	0	0.5
19	G9	G2	2	21	0.003	0	0.5
20	G10	G2	2	21	0.0069	0	0.5
21	G1	G3	2	21	0.0042	0	0.5
22	G2	G3	2	21	0.0037	0	0.5
23	G3	G3	2	21	0.9995	0.6968	0.5
24	G4	G3	2	21	0.0053	0	0.5
25	G5	G3	2	21	0.0043	0	0.5
26	G6	G3	2	21	0.0418	0	0.5
27	G7	G3	2	21	0.0034	0	0.5
28	G8	G3	2	21	0.0046	0	0.5
29	G9	G3	2	21	0.0065	0	0.5
30	G10	G3	2	21	0.0121	0	0.5
31	G1	G4	2	21	0.0511	0	0.5
32	G2	G4	2	21	0.0607	0	0.5
33	G3	G4	2	21	0.0675	0	0.5
34	G4	G4	2	21	0.9978	0.62918	0.5
35	G5	G4	2	21	0.0447	0	0.5
36	G6	G4	2	21	0.077	0	0.5
37	G7	G4	2	21	0.0815	0	0.5
38	G8	G4	2	21	0.1495	0	0.5
39	G9	G4	2	21	0.1271	0	0.5
40	G10	G4	2	21	0.0857	0	0.5
41	G1	G5	2	21	0.017	0	0.5
42	G2	G5	2	21	0.0304	0	0.5
43	G3	G5	2	21	0.3579	0	0.5
44	G4	G5	2	21	0.0783	0	0.5
45	G5	G5	2	21	0.645	0.44181	0.5
46	G6	G5	2	21	0.0288	0	0.5
47	G7	G5	2	21	0.0134	0	0.5
48	G8	G5	2	21	0.0121	0	0.5
49	G9	G5	2	21	0.0139	0	0.5
50	G10	G5	2	21	0.0431	0	0.5
51	G1	G6	2	21	0.0029	0	0.5
52	G2	G6	2	21	0.0034	0	0.5
53	G3	G6	2	21	0.0149	0	0.5
54	G4	G6	2	21	0.0032	0	0.5
55	G5	G6	2	21	0.0063	0	0.5
56	G6	G6	2	21	1	0.59047	0.5
57	G7	G6	2	21	0.0051	0	0.5
58	G8	G6	2	21	0.0026	0	0.5
59	G9	G6	2	21	0.0044	0	0.5
60	G10	G6	2	21	0.0115	0	0.5
61	G1	G7	2	21	0.0084	0	0.5
62	G2	G7	2	21	0.0062	0	0.5
63	G3	G7	2	21	0.0076	0	0.5
64	G4	G7	2	21	0.0086	0	0.5
65	G5	G7	2	21	0.0086	0	0.5
66	G6	G7	2	21	0.0084	0	0.5
67	G7	G7	2	21	0.9989	0.62183	0.5
68	G8	G7	2	21	0.0062	0	0.5
69	G9	G7	2	21	0.03	0	0.5
70	G10	G7	2	21	0.0096	0	0.5
71	G1	G8	2	21	0.0073	0	0.5
72	G2	G8	2	21	0.0034	0	0.5
73	G3	G8	2	21	0.1878	0	0.5
74	G4	G8	2	21	0.007	0	0.5
75	G5	G8	2	21	0.0168	0	0.5
76	G6	G8	2	21	0.0282	0	0.5
77	G7	G8	2	21	0.0086	0	0.5
78	G8	G8	2	21	0.1049	0	0.5
79	G9	G8	2	21	0.0077	0	0.5
80	G10	G8	2	21	0.0076	0	0.5
81	G1	G9	2	21	0.0062	0	0.5
82	G2	G9	2	21	0.0056	0	0.5
83	G3	G9	2	21	0.0162	0	0.5
84	G4	G9	2	21	0.0125	0	0.5
85	G5	G9	2	21	0.0044	0	0.5
86	G6	G9	2	21	0.0077	0	0.5
87	G7	G9	2	21	0.019	0	0.5
88	G8	G9	2	21	0.0041	0	0.5
89	G9	G9	2	21	1	0.76303	0.5
90	G10	G9	2	21	0.0264	0	0.5
91	G1	G10	2	21	0.0163	0	0.5
92	G2	G10	2	21	0.63	0.39007	0.5
93	G3	G10	2	21	0.5968	0.3879	0.5
94	G4	G10	2	21	0.0534	0	0.5
95	G5	G10	2	21	0.0304	0	0.5
96	G6	G10	2	21	0.0625	0	0.5
97	G7	G10	2	21	0.0058	0	0.5
98	G8	G10	2	21	0.0042	0	0.5
99	G9	G10	2	21	0.0099	0	0.5
100	G10	G10	2	21	0.3793	0	0.5
